date_and_time,Open,High,Low,Close
2020.08.18 08:00,1.18916,1.19148,1.18822,1.19101
2020.08.18 12:00,1.19101,1.19445,1.1897,1.1936
2020.08.18 16:00,1.1936,1.19653,1.19177,1.19358
2020.08.18 20:00,1.19358,1.19384,1.1928,1.19307
2020.08.19 00:00,1.19297,1.19514,1.1928,1.19474
2020.08.19 04:00,1.19474,1.19524,1.19275,1.19307
2020.08.19 08:00,1.19307,1.19472,1.19221,1.19402
2020.08.19 12:00,1.19402,1.19506,1.19253,1.19304
2020.08.19 16:00,1.19304,1.19486,1.1866,1.18774
2020.08.19 20:00,1.18774,1.18938,1.183,1.18386
2020.08.20 00:00,1.18375,1.1853,1.18373,1.18443
2020.08.20 04:00,1.18443,1.18531,1.18311,1.18476
2020.08.20 08:00,1.18476,1.18685,1.18119,1.18365
2020.08.20 12:00,1.18363,1.18563,1.18214,1.18304
2020.08.20 16:00,1.18304,1.18649,1.18018,1.18541
2020.08.20 20:00,1.18538,1.1863,1.18485,1.18609
2020.08.21 00:00,1.18599,1.18765,1.18544,1.18741
2020.08.21 04:00,1.18741,1.18779,1.18626,1.18767
2020.08.21 08:00,1.18767,1.18826,1.17989,1.18124
2020.08.21 12:00,1.18125,1.18181,1.17601,1.17847
2020.08.21 16:00,1.17847,1.17872,1.1754,1.17721
2020.08.21 20:00,1.17721,1.17982,1.17694,1.17951
2020.08.24 00:00,1.17908,1.18065,1.17901,1.17946
2020.08.24 04:00,1.17946,1.18065,1.17845,1.17941
2020.08.24 08:00,1.17942,1.18247,1.17908,1.18218
2020.08.24 12:00,1.18216,1.18494,1.18212,1.18419
2020.08.24 16:00,1.18419,1.18447,1.17914,1.17992
2020.08.24 20:00,1.17992,1.18053,1.1784,1.17869
2020.08.25 00:00,1.17908,1.18003,1.1784,1.17984
2020.08.25 04:00,1.17984,1.18146,1.17963,1.18102
2020.08.25 08:00,1.18102,1.18347,1.17977,1.18233
2020.08.25 12:00,1.18233,1.18423,1.18036,1.18163
2020.08.25 16:00,1.18161,1.18433,1.18049,1.18117
2020.08.25 20:00,1.18117,1.18371,1.18109,1.18335
2020.08.26 00:00,1.18338,1.18389,1.18273,1.18285
2020.08.26 04:00,1.18285,1.18346,1.18098,1.18118
2020.08.26 08:00,1.18119,1.18251,1.18004,1.18141
